kod_lotniska,nazwa_lotniska,miasto,stan,kraj,latitude,longitude
LWB,Greenbrier Valley Airport,Lewisburg,US-WV,US,37.857914,-80.400438
LWS,Lewiston Nez Perce County Airport,Lewiston,US-ID,US,46.3745002746582,-117.01499938964844
LYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,US-VA,US,37.326698,-79.200401
MAF,Midland International Air and Space Port,Midland,US-TX,US,31.942499,-102.202003
MBS,MBS International Airport,Freeland,US-MI,US,43.531913,-84.082275
MCI,Kansas City International Airport,Kansas City,US-MO,US,39.2976,-94.713898
MCN,Middle Georgia Regional Airport,Macon,US-GA,US,32.69279861450195,-83.64920043945312
MCO,Orlando International Airport,Orlando,US-FL,US,28.429399490356445,-81.30899810791016
MDT,Harrisburg International Airport,Harrisburg,US-PA,US,40.193501,-76.763397
MDW,Chicago Midway International Airport,Chicago,US-IL,US,41.785999,-87.752403
MEI,Key Field / Meridian Regional Airport,Meridian,US-MS,US,32.3326,-88.7519
MEM,Memphis International Airport,Memphis,US-TN,US,35.0424,-89.9767
MFE,McAllen Miller International Airport,McAllen,US-TX,US,26.176141,-98.237965
MFR,Rogue Valley International Medford Airport,Medford,US-OR,US,42.37419891357422,-122.8730010986328
